place,orilat,orilng,reallat,reallng
洪都拉斯(英),724,915,15.199999,-86.241905
アベママ,960,230,0.4243523,173.9150503
哥倫比亞,855,1040,4.570868,-74.297333
阿富汗,560,2430,33.93911,67.709953
塞席爾(法),970,2300,-4.679574,55.491977
法蘭西島(法),1102,2375,48.856614,2.3522219
古巴(西),680,1000,21.521757,-77.781167
尼泊爾,610,2620,28.394857,84.12400799999999
阿布扎比,650,2350,24.453884,54.3773438
聖路易港(法),1422,1215,-20.1608912,57.5012222
マルビナス諸島(西),1415,1208,-51.796253,-59.523613
南喬治亞(英),1440,1430,-54.429579,-36.587909
岡比亞(英),763,1640,13.443182,-15.310139
大溪地,1150,410,-17.6509195,-149.4260421
塞拉利昂(英),815,1680,8.460555,-11.779889
委内瑞拉,810,1110,6.42375,-66.58973
北ベトナム,720,2860,14.058324,108.277199
越南,740,2870,14.058324,108.277199
史瓦濟蘭,1157,2115,-26.522503,31.465866
新南威爾士,1235,3312,-31.2532183,146.921099
澳大利亞,1160,3110,-25.274398,133.775136
埃及,610,2100,26.820553,30.802498
芬蘭(俄羅斯),250,2060,61.92410999999999,25.7481511
巴拉圭,1150,1230,-23.442503,-58.443832
巴拉圭,1140,1200,-23.442503,-58.443832
塞内加爾,740,1646,14.497401,-14.452362
盧森堡,404,1857,49.815273,6.129582999999999
阿根廷,1220,1180,-38.416097,-63.61667199999999
阿根廷,1160,1140,-38.416097,-63.61667199999999
阿根廷,1230,1160,-38.416097,-63.61667199999999
賴索托,1193,2075,-29.609988,28.233608
西班牙,1070,1140,40.46366700000001,-3.74922
秘魯・玻利維亞,1040,1110,-9.189967,-75.015152
玻利維亞,1070,1140,-16.290154,-63.58865299999999
厄瓜多爾,915,1010,-1.831239,-78.18340599999999
蓋亞那(英),830,1190,4.860416,-58.93018
蓋亞那(蘭),830,1190,4.860416,-58.93018
洪都拉斯,745,940,15.199999,-86.241905
哥斯大黎加,797,956,9.748916999999999,-83.753428
中美聨邦,760,930,37.09024,-95.712891
瓜地馬拉,750,884,15.783471,-90.23075899999999
薩爾瓦多,764,915,13.794185,-88.89653
新西蘭,1310,3520,-40.900557,174.885971
塞爾維亞,460,2010,44.016521,21.005859
智利,1200,1080,-35.675147,-71.542969
蒙得維的亞,1235,1260,-34.9011127,-56.16453139999999
希臘,510,2030,39.074208,21.824312
阿爾及利亞(法),540,1840,28.033886,1.659626
阿爾及利亞(法),630,1800,28.033886,1.659626
香港(英),671,2943,22.253509,114.135357
澳門(葡),682,2930,22.152486,113.555963
利比里亞,840,1693,6.428055,-9.429499000000002
(蒙特内哥羅),478,1995,42.708678,19.37439
新喀里多尼亞(法),1110,3450,-20.904305,165.618042
尼加拉瓜,770,950,12.865416,-85.207229
摩納哥,462,1873,43.73841760000001,7.424615799999999
斐濟,1070,0,-17.713371,178.065032
馬爾代夫(英),840,2530,3.202778,73.22068
賽普勒斯(英),550,2130,35.126413,33.429859
賽普勒斯,555,2130,35.126413,33.429859
賽普勒斯(土),543,2130,35.126413,33.429859
